time,nodes,channel (tx),data rate(Mbps),signal,signal noise
121049532,1,5180,6,-75.2883,-93.966
121211548,1,5180,6,-70.2706,-93.966
121271619,1,5180,6,-75.1195,-93.966
121389619,1,5180,6,-75.1196,-93.966
121449624,1,5180,6,-70.271,-93.966
121584626,1,5180,6,-61.3956,-93.966
121049507,2,5180,6,-74.8419,-93.966
121211550,2,5180,6,-71.0086,-93.966
121271589,2,5180,6,-75.0246,-93.966
121389589,2,5180,6,-75.0245,-93.966
121449626,2,5180,6,-71.0083,-93.966
121584629,2,5180,6,-62.1627,-93.966
121049501,3,5180,6,-71.1679,-93.966
121211500,3,5180,6,-60.3091,-93.966
121271584,3,5180,6,-70.0635,-93.966
121389584,3,5180,6,-70.0635,-93.966
121449576,3,5180,6,-60.3082,-93.966
121449630,3,5180,6,-51.9448,-93.966
121049481,4,5180,6,-69.9722,-93.966
121211515,4,5180,6,-61.7905,-93.966
121271557,4,5180,6,-69.5357,-93.966
121389557,4,5180,6,-69.5356,-93.966
121449591,4,5180,6,-61.7897,-93.966
121644696,4,5180,6,-69.5352,-93.966
121788776,4,5180,6,-61.3968,-93.966
121049501,5,5180,6,-69.9669,-93.966
121211519,5,5180,6,-65.579,-93.966
121271587,5,5180,6,-70.3458,-93.966
121389587,5,5180,6,-70.3459,-93.966
121449595,5,5180,6,-65.5799,-93.966
121584610,5,5180,6,-52.2534,-93.966
121644726,5,5180,6,-70.3466,-93.966
121788794,5,5180,6,-61.9736,-93.966
121049469,6,5180,6,-65.493,-93.966
121271556,6,5180,6,-62.4457,-93.966
121389556,6,5180,6,-62.4459,-93.966
121584628,6,5180,6,-61.7895,-93.966
121644695,6,5180,6,-62.4467,-93.966
